source_id,source_name,source_url,error,collected_at_utc
jobsdb_ai_project,JobsDB Hong Kong - AI Project,https://hk.jobsdb.com/zh/ai-project-jobs/in-Hong-Kong-SAR,HTTP 403: Forbidden,2026-08-16T15:52:27+00:00
jobsdb_ai,JobsDB Hong Kong - AI,https://hk.jobsdb.com/zh/ai-jobs/in-Hong-Kong-SAR,HTTP 403: Forbidden,2026-08-16T15:52:29+00:00
jobsdb_automation,JobsDB Hong Kong - Automation,https://hk.jobsdb.com/automation-jobs/in-Hong-Kong-SAR,HTTP 403: Forbidden,2026-08-16T15:52:31+00:00
indeed_ai_automation,Indeed Hong Kong - AI Automation,https://hk.indeed.com/q-ai-automation-jobs.html,HTTP 403: Forbidden,2026-08-16T15:52:33+00:00
indeed_ml,Indeed Hong Kong - Machine Learning,https://hk.indeed.com/q-machine-learning-jobs.html,HTTP 403: Forbidden,2026-08-16T15:52:35+00:00
